,Kanji,Meaning,Radicals,Sound
4,担当,being in charge (of an area of responsibility),Carry + Correct,たんとう
6,当たり前,natural,Correct + Before,あまえ
8,該当,corresponding to,The Above + Correct,がいとう
9,当然,natural,Correct + Nature,とうぜん
12,穏当,proper,Calm + Correct,おんとう
1,豚肉,pork,Pork + Meat,ぶたにく
2,筋肉,muscle,Muscle + Meat,きんにく
4,鶏肉,chicken meat,Chicken + Meat,とりにく
5,焼肉,yakiniku,Bake + Meat,やきにく
6,肉屋,butcher's shop,Meat + Roof,にくや
7,脂身,fat (of meat),Fat + Body,あぶらみ
9,鯨肉,whale meat,Whale + Meat,げいにく
1,麦畑,wheat field,Wheat + Field,むぎばたけ
0,牧草,pasture,Pasture + Grass,ぼくそう
1,草地,grassland,Grass + Earth,くさち
3,草稿,notes,Grass + Draft,そうこう
5,草刈り,mowing,Grass + Prune,くさか
6,芝草,lawn,Lawn + Grass,しばくさ
0,販売,sale,Sell + Sell,はんばい
1,売る,to sell,Sell,う
2,商売,trade,Merchandise + Sell,しょうばい
3,売れる,to sell (well),Sell,う
5,発売,sale,Departure + Sell,はつばい
7,購買,procurement,Subscription + Buy,こうばい
8,卸売,wholesale,Wholesale + Sell,おろしうり
9,安売り,bargain sale,Relax + Sell,やすう
11,前売り券,ticket sold in advance,Before + Sell + Ticket,まえうけん
12,発売中,on sale,Departure + Sell,はつばいちゅう
0,葉書,postcard,Leaf + Write,はがき
0,西洋,the West,West + Western Style,せいよう
1,西暦,Common Era,West + Calendar,せいれき
2,関西,"Kansai (region comprising Kyoto, Osaka, Kobe and surrounding prefectures)",Related + West,かんさい
4,西側,west side,West + Side,にしがわ
0,叫び声,shout,Shout + Voice,さけごえ
2,鳴き声,cry (of an animal),Chirp + Voice,なごえ
4,泣き声,cry (e.g. of a baby),Cry + Voice,なごえ
1,金属,metal,Gold + Belong,きんぞく
2,奨学金,scholarship,Encourage + Study + Gold,しょうがくきん
3,金庫,safe,Gold + Storage,きんこ
4,お金,money,Gold,かね
5,預金,deposit,Deposit + Gold,よきん
6,借金,debt,Borrow + Gold,しゃっきん
7,貯金,putting money aside,Savings + Gold,ちょきん
8,料金,fee,Fee + Gold,りょうきん
9,税金,tax,Tax + Gold,ぜいきん
10,賞金,prize money,Prize + Gold,しょうきん
11,金魚,goldfish (Carassius auratus),Gold + Fish,きんぎょ
12,針金,wire,Needle + Gold,はりがね
13,資金,funds,Resources + Gold,しきん
14,募金,fundraising,Recruit + Gold,ぼきん
15,罰金,fine,Penalty + Gold,ばっきん
16,敷金,(security) deposit,Spread + Gold,しききん
17,金髪,blond hair,Gold + Hair,きんぱつ
18,錬金術,alchemy,Tempering + Gold + Art,れんきんじゅつ
19,金持ち,rich person,Gold + Hold,かねも
20,献金,donation,Offer + Gold,けんきん
21,集金,money collection,Collect + Gold,しゅうきん
22,貯金箱,savings box,Savings + Gold + Box,ちょきんばこ
23,金星,Venus (planet),Gold + Star,きんせい
0,峡谷,gorge,Ravine + Valley,きょうこく
1,渓谷,valley (with a river running through it),Valley + Valley,けいこく
0,走る,to run,Run,はし
1,走行,"running (of a car, bus, etc.)",Run + Go,そうこう
2,脱走,escape,Undress + Run,だっそう
3,暴走,acting rashly,Violence + Run,ぼうそう
4,走り回る,to run around,Run + Times,はしまわ
5,帆走,sailing,Sail + Run,はんそう
6,疾走,sprint,Rapid + Run,しっそう
7,暴走族,young motorcycle-riding delinquents,Violence + Run + Tribe,ぼうそうぞく
8,奔走,running about,Run + Run,ほんそう
0,雷雨,thunderstorm,Thunder + Rain,らいう
0,図書館,library,Diagram + Write + Public Building,としょかん
1,地図,map,Earth + Diagram,ちず
2,合図,sign,Suit + Diagram,あいず
3,図る,to plan,Diagram,はか
4,意図的,intentional,Idea + Diagram + Target,いとてき
5,略図,rough sketch,Abbreviation + Diagram,りゃくず
6,図説,illustration,Diagram + Theory,ずせつ
1,形容詞,adjective,Shape + Form + Part Of Speech,けいようし
3,髪型,hair style,Hair + Model,かみがた
5,形容動詞,adjectival noun (in Japanese),Shape + Form + Move + Part Of Speech,けいようどうし
6,複数形,plural form,Duplicate + Count + Shape,ふくすうけい
7,過去形,past tense,Surpass + Shape,かこけい
8,辞書形,dictionary form,Quit + Write + Shape,じしょけい
0,観光,sightseeing,View + Sunlight,かんこう
1,光る,to shine,Sunlight,ひか
2,光景,scene,Sunlight + Scene,こうけい
6,光栄,honour,Sunlight + Prosperity,こうえい
7,栄光,glory,Prosperity + Sunlight,えいこう
9,観光客,tourist,View + Sunlight + Guest,かんこうきゃく
0,周り,circumference,Circumference,まわ
1,回転,rotation,Times + Revolve,かいてん
2,回る,to turn,Times,まわ
3,回復,restoration,Times + Restore,かいふく
5,回す,to turn,Times,まわ
6,巡る,to go around,Patrol,めぐ
7,回数券,coupon tickets,Times + Count + Ticket,かいすうけん
8,何回,how many times,What + Times,なんかい
9,次回,next time (occasion),Next + Times,じかい
10,回想,recollection,Times + Concept,かいそう
11,前回,previous time,Before + Times,ぜんかい
12,毎回,every time,Every + Times,まいかい
13,巡回,going around,Patrol + Times,じゅんかい
14,撤回,withdrawal,Withdrawal + Times,てっかい
16,旋回,revolution,Rotation + Times,せんかい
17,駆け回る,to run around,Gallop + Times,かまわ
18,先回り,going on ahead,Times,さきまわ
19,一回,once,Times,いっかい
0,茶色,brown,Tea + Color,ちゃいろ
1,黄色,yellow,Yellow + Color,きいろ
3,灰色,grey,Ashes + Color,はいいろ
4,景色,scenery,Scene + Color,けしき
5,色彩,colour,Color + Coloring,しきさい
6,銀色,"silver (color, colour)",Silver + Color,ぎんいろ
8,桃色,"pink (colour, color)",Peach + Color,ももいろ
9,緑色,green,Green + Color,みどりいろ
10,色盲,color-blindness,Color + Blind,しきもう
11,彩り,coloring,Coloring,いろど
12,彩る,to colour,Coloring,いろど
13,紫色,purple,Purple + Color,むらさきいろ
14,肌色,flesh colour (of a Japanese person),Skin + Color,はだいろ
1,角度,angle,Angle + Degrees,かくど
6,角膜,cornea,Angle + Membrane,かくまく
0,音楽,music,Sound + Comfort,おんがく
1,発音,pronunciation,Departure + Sound,はつおん
2,騒音,noise,Boisterous + Sound,そうおん
3,録音,(audio) recording,Record + Sound,ろくおん
4,雑音,noise (usu. unpleasant),Random + Sound,ざつおん
5,超音速,supersonic speed,Ultra + Sound + Fast,ちょうおんそく
6,音痴,tone deafness,Sound + Stupid,おんち
8,超音波,ultrasonic waves,Ultra + Sound + Wave,ちょうおんぱ
9,音読み,on reading,Sound + Read,おんよ
10,音訓,kanji readings,Sound + Instruction,おんくん
0,南米,South America,South + Rice,なんべい
1,欧米,Europe and the United States,Europe + Rice,おうべい
2,玄米,unpolished rice,Mysterious + Rice,げんまい
3,米国,(United States of) America,Rice + Country,べいこく
4,全米,all-America,All + Rice,ぜんべい
0,旅行,travel,Trip + Go,りょこう
1,飛行機,airplane,Fly + Go + Machine,ひこうき
2,銀行,bank,Silver + Go,ぎんこう
3,行動,action,Go + Move,こうどう
4,行く,to go,Go,い
5,行う,to perform,Go,おこな
6,急行,hurrying (to somewhere),Hurry + Go,きゅうこう
7,孝行,filial piety,Filial Piety + Go,こうこう
8,行為,act,Go + Sake,こうい
9,進行,moving forward (e.g. of a vehicle),Advance + Go,しんこう
11,徐行,going slowly (esp. to enable a vehicle to stop immediately),Gently + Go,じょこう
12,行き,the way there,Go,い
13,流行,fashion,Stream + Go,りゅうこう
15,遂行,accomplishment,Accomplish + Go,すいこう
16,直行,going straight (to),Fix + Go,ちょっこう
18,壮行,(rousing) send-off,Robust + Go,そうこう
19,親孝行,filial piety,Parent + Filial Piety + Go,おやこうこう
20,旅行者,traveller,Trip + Go + Someone,りょこうしゃ
21,新婚旅行,honeymoon,New + Marriage + Trip + Go,しんこんりょこう
22,流行歌,popular song,Stream + Go + Song,りゅうこうか
23,施行,putting in force (a law),Carry Out + Go,しこう
24,刊行,publication,Edition + Go,かんこう
1,作家,author,Make + House,さっか
2,作品,"work (e.g. book, film, painting, composition)",Make + Product,さくひん
3,作業,work,Make + Business,さぎょう
4,作る,to make,Make,つく
5,作戦,tactics,Make + War,さくせん
6,操作,operation,Manipulate + Make,そうさ
7,傑作,masterpiece,Greatness + Make,けっさく
8,作者,creator (of a work),Make + Someone,さくしゃ
9,製作,manufacture,Manufacture + Make,せいさく
11,原作,original work,Original + Make,げんさく
13,耕作,cultivation,Plow + Make,こうさく
14,著作権,copyright,Author + Make + Rights,ちょさくけん
15,著作,writing (a book),Author + Make,ちょさく
17,稲作,rice cultivation,Rice Plant + Make,いなさく
0,会社,company,Meet + Company,かいしゃ
1,社会,society,Company + Meet,しゃかい
2,神社,Shinto shrine,God + Company,じんじゃ
3,社長,company president,Company + Long,しゃちょう
5,靖国神社,Yasukuni Shrine,Peaceful + Country + God + Company,やすくにじんじゃ
6,社会党,Socialist Party,Company + Meet + Group,しゃかいとう
7,社員,company employee,Company + Member,しゃいん
10,社会福祉,social welfare,Company + Meet + Luck + Welfare,しゃかいふくし
12,会社員,company employee,Meet + Company + Member,かいしゃいん
13,貿易会社,trading company,Trade + Easy + Meet + Company,ぼうえきがいしゃ
0,未来,(distant) future,Not Yet + Come,みらい
2,来週,next week,Come + Week,らいしゅう
6,将来,future,Commander + Come,しょうらい
7,再来週,week after next,Again + Come + Week,さらいしゅう
10,従来,up to now,Obey + Come,じゅうらい
12,来る,to come (spatially or temporally),Come,く
0,同じ,same,Same,おな
1,共同,cooperation,Together + Same,きょうどう
2,同僚,coworker,Same + Colleague,どうりょう
3,同時,same time,Same + Time,どうじ
4,同感,same feeling,Same + Feeling,どうかん
5,同盟,alliance,Same + Alliance,どうめい
6,同伴,accompanying,Same + Accompany,どうはん
7,同胞,brethren,Same + Cell,どうほう
9,呉越同舟,bitter enemies in the same boat,Give + Go Beyond + Same + Boat,ごえつどうしゅう
0,言葉,language,Say + Leaf,ことば
1,辞典,dictionary,Quit + Rule,じてん
2,言語,language,Say + Language,げんご
3,言う,to say,Say,い
5,助言,advice,Help + Say,じょげん
6,証言,testimony,Evidence + Say,しょうげん
7,言葉遣い,speech,Say + Leaf + Dispatch,ことばづか
10,宣言,declaration,Proclaim + Say,せんげん
11,無言,silence (not speaking),Nothing + Say,むごん
12,片言,prattle,One Sided + Say,かたこと
1,会議,meeting,Meet + Deliberation,かいぎ
3,会話,conversation,Meet + Talk,かいわ
4,会議室,conference room,Meet + Deliberation + Room,かいぎしつ
5,議会,congress,Deliberation + Meet,ぎかい
6,会う,to meet,Meet,あ
7,宴会,party,Banquet + Meet,えんかい
8,機会,chance,Machine + Meet,きかい
10,会員,member,Meet + Member,かいいん
11,都会,city,Metropolis + Meet,とかい
13,協会,association,Cooperation + Meet,きょうかい
15,委員会,committee,Committee + Member + Meet,いいんかい
16,運動会,athletic meet (esp. at a school),Carry + Move + Meet,うんどうかい
17,博覧会,exhibition,Exhibition + Look At + Meet,はくらんかい
21,展示会,exhibition,Expand + Indicate + Meet,てんじかい
22,会釈,slight bow (as a greeting or sign of gratitude),Meet + Explanation,えしゃく
23,英会話,English conversation,England + Meet + Talk,えいかいわ
25,飲み会,drinking party,Drink + Meet,のかい
26,舞踏会,ball,Dance + Step + Meet,ぶとうかい
0,近い,near,Near,ちか
1,近く,near,Near,ちか
2,近所,neighbourhood,Near + Place,きんじょ
3,最近,recently,Most + Near,さいきん
4,近視,myopia,Near + Look At,きんし
5,近頃,lately,Near + Approximate,ちかごろ
6,付近,neighborhood,Attach + Near,ふきん
7,近郊,outskirts,Near + Suburbs,きんこう
8,近づく,to approach,Near,ちか
10,近道,shorter way,Near + Road,ちかみち
12,近隣,neighbourhood,Near + Neighbor,きんりん
14,近距離,short distance,Near + Distance + Detach,きんきょり
0,考える,"to think (about, of)",Think,かんが
1,考え,thinking,Think,かんが
2,考慮,consideration,Think + Consider,こうりょ
1,毎朝,every morning,Every + Morning,まいあさ
3,毎晩,every night,Every + Night,まいばん
4,毎度,each time,Every + Degrees,まいど
1,青い,blue,Blue,あお
2,青銅,bronze,Blue + Copper,せいどう
4,入れ墨,tattoo (esp. a traditional Japanese one),Black Ink,いずみ
5,青葉,fresh leaves,Blue + Leaf,あおば
0,学校,school,Study + School,がっこう
2,数学,mathematics,Count + Study,すうがく
3,科学,science,Science + Study,かがく
6,医学,medical science,Medicine + Study,いがく
9,高等学校,senior high school,Tall + Equal + Study + School,こうとうがっこう
10,学者,scholar,Study + Someone,がくしゃ
11,留学,studying abroad,Detain + Study,りゅうがく
13,学期,school term,Study + Period Of Time,がっき
14,哲学,philosophy,Philosophy + Study,てつがく
22,学ぶ,to learn,Study,まな
24,学歴,academic background,Study + Continuation,がくれき
27,幾何学,geometry,How Many + What + Study,きかがく
29,独学,self-education,Alone + Study,どくがく
31,経済学,economics,Passage Of Time + Come To An End + Study,けいざいがく
32,倫理学,ethics,Ethics + Reason + Study,りんりがく
33,解剖学,anatomy,Untie + Divide + Study,かいぼうがく
35,薬学,(study of) pharmacy,Medicine + Study,やくがく
36,学院,institute,Study + Institution,がくいん
39,修辞学,rhetoric,Discipline + Quit + Study,しゅうじがく
42,哲学者,philosopher,Philosophy + Study + Someone,てつがくしゃ
0,何故,why,What + Circumstance,なぜ
2,何故なら,because,What + Circumstance,なぜ
3,何度,how many times,What + Degrees,なんど
6,いつ頃,about when,Approximate,ごろ
7,何時,what time,What + Time,なんじ
0,体育,physical education,Body + Nurture,たいいく
1,液体,liquid,Fluid + Body,えきたい
2,死体,dead body,Death + Body,したい
3,体操,gymnastics,Body + Manipulate,たいそう
4,体積,capacity,Body + Accumulate,たいせき
8,体験,(practical) experience,Body + Test,たいけん
9,体重,(body) weight,Body + Heavy,たいじゅう
10,胴体,trunk,Torso + Body,どうたい
11,抗体,antibody,Confront + Body,こうたい
12,媒体,medium,Mediator + Body,ばいたい
14,失態,blunder,Fault + Appearance,しったい
15,遺体,(dead) body,Leave Behind + Body,いたい
16,体系的,systematic,Body + Lineage + Target,たいけいてき
2,以前,before,By Means Of + Before,いぜん
3,お前,you,Before,まえ
7,駅前,in front of a station,Station + Before,えきまえ
9,寸前,just before,Measurement + Before,すんぜん
10,前兆,omen,Before + Omen,ぜんちょう
12,前面,front part,Before + Face,ぜんめん
2,地震,earthquake,Earth + Earthquake,じしん
3,地球,Earth,Earth + Sphere,ちきゅう
4,地域,area,Earth + Region,ちいき
5,位置,place,Rank + Put,いち
7,遊園地,amusement park,Play + Garden + Earth,ゆうえんち
8,地獄,hell realm,Earth + Prison,じごく
9,地理,geography,Earth + Reason,ちり
10,墓地,cemetery,Grave + Earth,ぼち
12,地区,district,Earth + District,ちく
14,地帯,zone,Earth + Belt,ちたい
15,意地悪,malicious,Idea + Earth + Bad,いじわる
16,各地,each place,Each + Earth,かくち
18,聖地,sacred place,Holy + Earth,せいち
19,路地,alley,Road + Earth,ろじ
21,沼地,marshland,Bog + Earth,ぬまち
22,地面,ground,Earth + Face,じめん
24,窮地,dilemma,Destitute + Earth,きゅうち
25,地価,the price of land,Earth + Value,ちか
28,耕地,arable land,Plow + Earth,こうち
1,乳首,nipple,Milk + Neck,ちくび
4,頷く,to nod,,うなず
5,部首,radical (of a kanji character),Part + Neck,ぶしゅ
6,首班,head,Neck + Squad,しゅはん
7,縛り首,(death by) hanging,Bind + Neck,しばくび
8,主唱,advocacy,Chant,しゅしょう
9,首になる,to be sacked,Neck,くび
0,海岸,coast,Sea + Coast,かいがん
2,津波,tsunami,Haven + Wave,つなみ
3,海峡,channel (e.g. between two land masses),Sea + Ravine,かいきょう
6,海軍,navy,Sea + Army,かいぐん
7,海賊,pirate,Sea + Robber,かいぞく
9,海がめ,sea turtle,Sea,うみ
1,向こう,opposite side,Yonder,む
2,傾向,tendency,Lean + Yonder,けいこう
3,向ける,to turn (towards),Yonder,む
4,向く,to turn toward,Yonder,む
5,向け,intended for ...,Yonder,む
6,対向,counter-,Versus + Yonder,たいこう
0,紅茶,black tea,Deep Red + Tea,こうちゃ
2,喫茶店,coffee shop,Consume + Tea + Shop,きっさてん
3,お茶,tea (esp. green or barley),Tea,ちゃ
4,無茶,absurd,Nothing + Tea,
5,茶の湯,tea ceremony,Tea + Hot Water,ちゃゆ
6,茶屋,teahouse,Tea + Roof,ちゃや
7,抹茶,matcha,Erase + Tea,まっちゃ
0,姉妹,sisters,Older Sister + Younger Sister,しまい
0,有る,to be,Have,あ
2,有益,beneficial,Have + Benefit,ゆうえき
3,有難う,thank you,Have + Difficult,ありがと
4,有罪,guilt,Have + Guilt,ゆうざい
5,共有,joint ownership,Together + Have,きょうゆう
6,有毒,poisonous,Have + Poison,ゆうどく
7,富裕,wealthy,Rich + Abundant,ふゆう
0,映画,movie,Reflect + Drawing,えいが
1,映画館,movie theatre,Reflect + Drawing + Public Building,えいがかん
2,漫画,cartoon,Manga + Drawing,まんが
3,計画,plan,Measure + Drawing,けいかく
4,企画,planning,Plan + Drawing,きかく
5,描く,to draw,Draw,えが
6,油絵,oil painting,Oil + Drawing,あぶらえ
7,画像,image,Drawing + Statue,がぞう
8,画面,"screen (of a TV, computer, etc.)",Drawing + Face,がめん
9,画廊,art gallery (esp. artworks for sale),Drawing + Corridor,がろう
0,教室,classroom,Teach + Room,きょうしつ
1,研究室,laboratory,Sharpen + Research + Room,けんきゅうしつ
3,待合室,waiting room,Wait + Suit + Room,まちあいしつ
4,和室,Japanese-style room,Peace + Room,わしつ
5,客室,guest room (at a hotel),Guest + Room,きゃくしつ
6,個室,single (room),Individual + Room,こしつ
7,更衣室,locker room,Again + Clothes + Room,こういしつ
9,部室,clubroom,Part + Room,ぶしつ
10,皇室,Imperial household,Emperor + Room,こうしつ
11,洋室,Western-style room,Western Style + Room,ようしつ
0,東京,Tokyo,East + Capital,とうきょう
1,京都,"Kyoto (city, prefecture)",Capital + Metropolis,きょうと
0,お姉さん,older sister,Older Sister,ねえ
1,垂直,vertical,Dangle + Fix,すいちょく
2,値段,price,Value + Steps,ねだん
3,直す,to repair,Fix,なお
4,治る,to get better,Cure,なお
5,直接,direct,Fix + Adjoin,ちょくせつ
6,直径,diameter,Fix + Diameter,ちょっけい
8,仲直り,reconciliation,Relationship + Fix,なかなお
10,硬直,stiffening,Stiff + Fix,こうちょく
11,直接的,direct,Fix + Adjoin + Target,ちょくせつてき
12,書き直す,to write out,Write + Fix,かなお
0,全部,all,All + Part,ぜんぶ
1,安全,safety,Relax + All,あんぜん
2,全然,(not) at all,All + Nature,ぜんぜん
3,全員,all members,All + Member,ぜんいん
4,完全,perfect,Perfect + All,かんぜん
5,全国,the whole country,All + Country,ぜんこく
6,全て,everything,All,すべ
7,全く,really,All,まった
8,全身,whole (body),All + Body,ぜんしん
10,全額,total,All + Amount,ぜんがく
12,全治,complete recovery,All + Cure,ぜんち
13,全般的,general,All + Generally + Target,ぜんぱんてき
14,全景,panoramic view,All + Scene,ぜんけい
0,血液,blood,Blood + Fluid,けつえき
1,血圧,blood pressure,Blood + Pressure,けつあつ
2,輸血,blood transfusion,Transport + Blood,ゆけつ
4,血管,blood vessel,Blood + Pipe,けっかん
5,混血,mixed race,Mix + Blood,こんけつ
6,高血圧,high blood pressure,Tall + Blood + Pressure,こうけつあつ
7,献血,blood donation,Offer + Blood,けんけつ
8,血液型,blood type,Blood + Fluid + Model,けつえきがた
9,吸血鬼,vampire,Suck + Blood + Demon,きゅうけつき
10,鼻血,nosebleed,Nose + Blood,はなぢ
11,血族,blood relative,Blood + Tribe,けつぞく
0,散歩,walk,Scatter + Walk,さんぽ
1,歩道,footpath,Walk + Road,ほどう
2,歩く,to walk,Walk,ある
3,一歩,(a) step,Walk,いっぽ
4,初歩,basics,First + Walk,しょほ
0,食堂,dining room,Eat + Hall,しょくどう
1,食事,meal,Eat + Action,しょくじ
2,食欲,appetite (for food),Eat + Want,しょくよく
3,食べ物,food,Eat + Thing,たもの
4,食べる,to eat,Eat,た
5,食料品,foodstuff,Eat + Fee + Product,しょくりょうひん
6,食卓,dining table,Eat + Table,しょくたく
7,食糧,food (esp. staple food such as rice or wheat),Eat + Provisions,しょくりょう
8,食器,tableware,Eat + Container,しょっき
10,洋食,Western food,Western Style + Eat,ようしょく
11,腐食,rot,Rot + Eat,ふしょく
12,侵食,encroachment,Invade + Eat,しんしょく
13,和食,Japanese food,Peace + Eat,わしょく
14,試食,sampling food,Try + Eat,ししょく
0,後ろ,back,Behind,うし
2,最後,end,Most + Behind,さいご
3,遅れる,to be late,Slow,おく
4,以後,after this,By Means Of + Behind,いご
5,後輩,"junior (at work, school, etc.)",Behind + Comrade,こうはい
6,背後,back,Back + Behind,はいご
7,後悔,regret,Behind + Regret,こうかい
1,零点,"zero (points, marks)",Zero + Point,れいてん
2,欠点,fault,Lack + Point,けってん
3,要点,gist,Need + Point,ようてん
4,満点,perfect score,Full + Point,まんてん
5,弱点,weak point,Weak + Point,じゃくてん
6,焦点,focus,Char + Point,しょうてん
7,点数,marks,Point + Count,てんすう
8,終点,terminus,End + Point,しゅうてん
10,点ける,to turn on,Point,つ
11,点滴,raindrops,Point + Drip,てんてき
12,拠点,base (of operations),Based On + Point,きょてん
14,盲点,blind spot (on the retina),Blind + Point,もうてん
15,共通点,point in common,Together + Pass Through + Point,きょうつうてん
16,汚点,stain,Dirty + Point,おてん
17,灯る,"to be lit (e.g. candle, lamp, light bulb)",Lamp,とも
1,国際,international,Country + Occasion,こくさい
2,国境,border (between countries),Country + Boundary,こっきょう
3,国民,people (of a country),Country + Peoples,こくみん
5,国籍,nationality,Country + Enroll,こくせき
10,帝国,empire,Sovereign + Country,ていこく
11,国旗,national flag,Country + Flag,こっき
12,国債,national debt,Country + Debt,こくさい
13,国宝,national treasure,Country + Treasure,こくほう
14,鎖国,national isolation,Chain + Country,さこく
18,韓国,South Korea,Korea + Country,かんこく
19,英国,United Kingdom,England + Country,えいこく
20,隣国,neighbouring country,Neighbor + Country,りんごく
1,消化,digestion (of food),Extinguish + Change,しょうか
2,進化,evolution,Advance + Change,しんか
3,変化,change,Change + Change,へんか
4,増加,increase,Increase + Add,ぞうか
5,化粧,make-up,Change + Cosmetics,けしょう
6,化ける,"to take the form of (esp. in ref. to a spirit, fox, raccoon dog, etc.)",Change,ば
0,知識,knowledge,Know + Discerning,ちしき
1,知恵,wisdom,Know + Favor,ちえ
2,知る,to know,Know,し
3,無知,ignorance,Nothing + Know,むち
4,承知,knowledge,Consent + Know,しょうち
5,知り合い,acquaintance,Know + Suit,しあ
6,察知,to sense,Guess + Know,さっち
8,恥知らず,shameless,Shame + Know,はじし
9,お知らせ,notice,Know,し
10,愛知県,Aichi prefecture (Chūbu area),Love + Know + Prefecture,あいちけん
1,教科書,textbook,Teach + Science + Write,きょうかしょ
1,深夜,late at night,Deep + Night,しんや
3,徹夜,staying up all night,Penetrate + Night,てつや
0,思う,to think,Think,おも
3,思想,thought,Think + Concept,しそう
5,思わず,unconsciously,Think,おも
6,思いやり,consideration,Think,おも
0,南極,South Pole,South + Extreme,なんきょく
2,南瓜,pumpkin (Cucurbita sp.),South + Melon,かぼちゃ
3,南東,southeast,South + East,なんとう
4,南蛮,southern barbarians (name used in ancient China for non-Chinese ethnic groups to the south),South + Barbarian,なんばん
5,南口,south entrance,South,みなみぐち
6,南緯,southern latitude,South + Latitude,なんい
0,亡くなる,to die,Death,な
1,失う,to lose,Fault,うしな
2,死亡,death,Death + Death,しぼう
3,逃亡,escape,Escape + Death,とうぼう
4,滅びる,to go to ruin,Destroy,ほろ
5,滅亡,downfall,Destroy + Death,めつぼう
6,滅ぼす,to destroy,Destroy,ほろ
7,亡霊,departed spirit,Death + Ghost,ぼうれい
0,説明,explanation,Theory + Bright,せつめい
1,証明,proof,Evidence + Bright,しょうめい
3,明るい,light,Bright,あか
5,透明,transparent,Transparent + Bright,とうめい
6,照明,illumination,Illuminate + Bright,しょうめい
8,賢明,wise,Clever + Bright,けんめい
10,明朗,cheerful,Bright + Bright,めいろう
13,明治,Meiji era (1868.9.8-1912.7.30),Bright + Cure,めいじ
14,説明書,(printed) instructions,Theory + Bright + Write,せつめいしょ
15,釈明,explanation,Explanation + Bright,しゃくめい
16,究明,investigation (esp. in academic and scientific contexts),Research + Bright,きゅうめい
17,証明書,certificate,Evidence + Bright + Write,しょうめいしょ
18,聡明,wise,Wise + Bright,そうめい
19,明治維新,Meiji Restoration (1868),Bright + Cure + Maintain + New,めいじいしん
1,店員,employee (of a store),Shop + Member,てんいん
2,支店,branch office,Support + Shop,してん
3,商店街,shopping district,Merchandise + Shop + Street,しょうてんがい
4,閉店,closing up shop (for the day),Close + Shop,へいてん
5,店舗,shop,Shop + Shop,てんぽ
1,両替,change,Both + Replace,りょうがえ
2,両側,both sides,Both + Side,りょうがわ
4,両者,pair,Both + Someone,りょうしゃ
5,両腕,both arms,Both + Arm,りょううで
7,両翼,both wings,Both + Wing,りょうよく
8,両日,both days,Both,りょうじつ
0,曲がる,to bend,Music,ま
1,戯曲,drama,Play + Music,ぎきょく
2,曲げる,to bend,Music,ま
3,曲線,curve,Music + Line,きょくせん
4,歌謡曲,kayōkyoku,Song + Noh Chanting + Music,かようきょく
5,名曲,famous piece of music,Music,めいきょく
1,安い,cheap,Relax,やす
5,治安,public order,Cure + Relax,ちあん
6,安泰,peace,Relax + Peace,あんたい
0,議長,chair,Deliberation + Long,ぎちょう
1,長い,"long (distance, length)",Long,なが
3,課長,section manager,Section + Long,かちょう
5,延長,extension,Prolong + Long,えんちょう
6,長寿,long life,Long + Lifespan,ちょうじゅ
7,長さ,length,Long,なが
3,東側,east side,East + Side,ひがしがわ
6,東口,east entrance,East,ひがしぐち
7,東亜,East Asia,East + Asia,とうあ
8,東京都,Tokyo Metropolis (prefecture),East + Capital + Metropolis,とうきょうと
0,衛星,(natural) satellite,Defense + Star,えいせい
2,恒星,star,Constant + Star,こうせい
3,星占い,astrology,Star + Fortune,ほしうらな
5,土星,Saturn (planet),Star,どせい
6,水星,Mercury (planet),Star,すいせい
0,死ぬ,to die,Death,し
2,死刑,death penalty,Death + Punish,しけい
4,必死,frantic,Certain + Death,ひっし
5,脳死,brain death,Brain + Death,のうし
6,死刑囚,criminal condemned to death,Death + Punish + Criminal,しけいしゅう
7,餓死,(death from) starvation,Starve + Death,がし
8,急死,sudden death,Hurry + Death,きゅうし
9,即死,instant death,Instant + Death,そくし
10,凍死,death from cold,Frozen + Death,とうし
3,活動,"activity (of a person, organization, animal, volcano, etc.)",Lively + Move,かつどう
5,活躍,activity (esp. energetic or successful),Lively + Leap,かつやく
6,私生活,private life,I + Lively,しせいかつ
0,弱い,weak,Weak,よわ
4,虚弱,feebleness,Void + Weak,きょじゃく
5,薄弱,feebleness,Dilute + Weak,はくじゃく
0,黒板,blackboard,Black + Board,こくばん
1,黒い,black,Black,くろ
2,真っ黒,pitch black,Reality + Black,まくろ
4,黒幕,black curtain,Black + Curtain,くろまく
7,漆黒,jet black,Lacquer + Black,しっこく
8,黒潮,Kuroshio Current,Black + Tide,くろしお
9,黒煙,black smoke,Black + Smoke,こくえん
10,黒い霧,thick fog (of suspicion),Black + Fog,くろきり
1,教育,education,Teach + Nurture,きょういく
2,教授,professor,Teach + Instruct,きょうじゅ
3,宗教,religion,Religion + Teach,しゅうきょう
5,教える,to teach,Teach,おし
6,教師,teacher,Teach + Teacher,きょうし
7,教訓,lesson,Teach + Instruction,きょうくん
8,教え,teaching,Teach,おし
9,家庭教師,(home) tutor,House + Garden + Teach + Teacher,かていきょうし
10,仏教,Buddhism,Buddha + Teach,ぶっきょう
4,以降,on and after,By Means Of + Descend,いこう
1,夏至,summer solstice,Summer + Attain,げし
0,普通,normal,Normal + Pass Through,ふつう
2,通勤,commuting to work,Pass Through + Work,つうきん
3,通訳,interpretation (i.e. oral translation),Pass Through + Translation,つうやく
4,通貨,currency,Pass Through + Freight,つうか
