Kanji,Meaning,Radicals,Sound
下旬,last third of a month,Below + In Season,げじゅん
下品,vulgar,Below + Product,げひん
下書き,draft,Below + Write,したが
年下,younger,Year + Below,としした
零下,below zero,Zero + Below,れいか
却下,rejection,Contrary + Below,きゃっか
収入,income,Obtain + Enter,しゅうにゅう
輸入,import,Transport + Enter,ゆにゅう
入る,to enter,Enter,はい
入れる,to put in,Enter,い
入院,hospitalization,Enter + Institution,にゅういん
入場,entrance,Enter + Location,にゅうじょう
気に入る,to like,Energy + Enter,きい
侵入,invasion,Invade + Enter,しんにゅう
入社,joining a company,Enter + Company,にゅうしゃ
購入,purchase,Subscription + Enter,こうにゅう
介入,intervention,Jammed In + Enter,かいにゅう
入り口,entrance,Enter + Mouth,いぐち
歳入,annual revenue (government),Years Old + Enter,さいにゅう
入力,input,Enter + Power,にゅうりょく
入学試験,entrance examination,Enter + Study + Try + Test,にゅうがくしけん
口紅,lipstick,Mouth + Deep Red,くちべに
早口,fast-talking,Early + Mouth,はやくち
窓口,counter,Window + Mouth,まどぐち
裏口,backdoor,Backside + Mouth,うらぐち
出口,exit,Exit + Mouth,でぐち
非常口,emergency exit,Injustice + Normal + Mouth,ひじょうぐち
悪口,(verbal) abuse,Bad + Mouth,わるぐち
口調,tone (of voice),Mouth + Investigate,くちょう
辛口,"dry taste (e.g. sake, wine)",Spicy + Mouth,からくち
口癖,pet saying,Mouth + Habit,くちぐせ
戸口,door,Door + Mouth,とぐち
相撲,sumo (wrestling),Mutual + Slap,すもう
電力,electric power,Electricity + Power,でんりょく
暴力,violence,Violence + Power,ぼうりょく
圧力,pressure,Pressure + Power,あつりょく
体力,physical strength,Body + Power,たいりょく
努力,effort,Toil + Power,どりょく
能力,ability,Ability + Power,のうりょく
協力,cooperation,Cooperation + Power,きょうりょく
魅力,charm,Alluring + Power,みりょく
強力,powerful,Strong + Power,きょうりょく
実力,(real) ability,Truth + Power,じつりょく
効力,effect,Effective + Power,こうりょく
勢力,influence,Force + Power,せいりょく
原子力,atomic energy,Original + Child + Power,げんしりょく
創造力,creative power,Create + Create + Power,そうぞうりょく
握力,grip (of hand),Grip + Power,あくりょく
馬力,horsepower,Horse + Power,ばりき
暴力団,bōryokudan,Violence + Power + Group,ぼうりょくだん
無力,powerlessness,Nothing + Power,むりょく
力士,sumo wrestler,Power + Samurai,りきし
助力,assistance,Help + Power,じょりょく
尽力,efforts,Exhaust + Power,じんりょく
弾力,elasticity,Bullet + Power,だんりょく
川底,riverbed,River + Bottom,かわぞこ
川柳,senryū,River + Willow,せんりゅう
川崎,Kawasaki (city),River + Cape,かわさき
滝川,rapids,Waterfall + River,たきがわ
淀川,Yodo River,Eddy + River,
神奈川県,Kanagawa Prefecture (Kanto area),God + Nara + River + Prefecture,かながわけん
香川県,Kagawa Prefecture (Shikoku),Fragrance + River + Prefecture,かがわけん
一致,agreement,One + Do,いっち
一番,number one,One + Number In A Series,いちばん
一つ,one,One,ひと
一緒,(doing) together,One + Together,いっしょ
一生懸命,very hard,One + Life + Suspend + Fate,いっしょうけんめい
一体,(what) the heck,One + Body,いったい
一層,even more,One + Layer,いっそう
唯一,only,Solely + One,ゆいいつ
一生,whole life,One + Life,いっしょう
一般,general,One + Generally,いっぱん
一瞬,instant,One + Blink,いっしゅん
一時,one o'clock,One + Time,いちじ
一応,more or less,One + Respond,いちおう
一旦,once,One + Dawn,いったん
一昨日,day before yesterday,One + Previous + Sun,おととい
一流,first-class,One + Stream,いちりゅう
一括,lumping together,One + Fasten,いっかつ
一概に,unconditionally,One + Approximation,いちがい
１日,first day of the month,Sun,ついたち
一杯,one cup (of),One + Cup Of Liquid,いっぱい
一般的,general,One + Generally + Target,いっぱんてき
１月,January,Moon,いちがつ
一周,one round,One + Circumference,いっしゅう
一貫,consistency,One + Pierce,いっかん
一等,first class,One + Equal,いっとう
一億,"100,000,000",One + Hundred Million,いちおく
一階,first floor,One + Floor,いっかい
一例,example,One + Example,いちれい
一打,stroke,One + Hit,いちだ
一筋,one line,One + Muscle,ひとすじ
一代,generation,One + Substitute,いちだい
三つ,three,Three,みっ
３日,3rd day of the month,Sun,みっか
三角,triangle,Three + Angle,さんかく
三角形,triangle,Three + Angle + Shape,さんかくけい
３００,300,,さんびゃく
登山,mountain climbing,Climb + Mountain,とざん
沢山,a lot,Swamp + Mountain,たくさん
火山,volcano,Fire + Mountain,かざん
山脈,mountain range,Mountain + Vein,さんみゃく
鉱山,mine (ore),Mineral + Mountain,こうざん
山岳,mountain chain,Mountain + Peak,さんがく
山葵,wasabi (Wasabia japonica),Mountain + Hollyhock,わさび
山頂,summit (of a mountain),Mountain + Summit,さんちょう
山登り,mountain climbing,Mountain + Climb,やまのぼ
山賊,bandit,Mountain + Robber,さんぞく
銅山,copper mine,Copper + Mountain,どうざん
山荘,mountain villa,Mountain + Villa,さんそう
女性,woman,Woman + Gender,じょせい
女王,queen,Woman + King,じょおう
女の子,girl,Woman + Child,おんなこ
彼女,she,He + Woman,かのじょ
女優,actress,Woman + Superior,じょゆう
夫婦,married couple,Husband + Wife,ふうふ
女子,woman,Woman + Child,じょし
女神,goddess,Woman + God,めがみ
魔女,witch,Devil + Woman,まじょ
淑女,lady,Graceful + Woman,しゅくじょ
王女,princess,King + Woman,おうじょ
文化,culture,Writing + Change,ぶんか
文学,literature,Writing + Study,ぶんがく
文法,grammar,Writing + Method,ぶんぽう
論文,thesis,Theory + Writing,ろんぶん
文字,letter (of an alphabet),Writing + Letter,もじ
文章,writing,Writing + Chapter,ぶんしょう
注文,order (for an item),Pour + Writing,ちゅうもん
文句,complaint,Writing + Paragraph,もんく
学問,study,Study + Problem,がくもん
英文,English writing,England + Writing,えいぶん
文字通り,literally,Writing + Letter + Pass Through,もじどお
例文,example sentence,Example + Writing,れいぶん
序文,preface,Preface + Writing,じょぶん
文化祭,school festival,Writing + Change + Festival,ぶんかさい
顔文字,emoticon,Face + Writing + Letter,かおもじ
短刀,short sword,Short + Sword,たんとう
背中,back (of the body),Back + Middle,せなか
中学校,junior high school,Middle + Study + School,ちゅうがっこう
お腹,belly,Belly,なか
中指,middle finger,Middle + Finger,なかゆび
途中,on the way,Route + Middle,とちゅう
中央,centre,Middle + Center,ちゅうおう
中止,interruption,Middle + Stop,ちゅうし
世の中,society,World + Middle,よなか
集中,concentration (on a task),Collect + Middle,しゅうちゅう
年中,whole year,Year + Middle,ねんじゅう
中古,used,Middle + Old,ちゅうこ
当たる,to be hit,Correct,あ
中々,very,Middle + Repeater,なかなか
夢中,absorbed in,Dream + Middle,むちゅう
中旬,middle ten days of a month,Middle + In Season,ちゅうじゅん
連中,company,Take Along + Middle,れんちゅう
当たり,hit,Correct,あ
中毒,poisoning,Middle + Poison,ちゅうどく
中枢,centre,Middle + Hinge,ちゅうすう
地中海,Mediterranean Sea,Earth + Middle + Sea,ちちゅうかい
中東,Middle East,Middle + East,ちゅうとう
食中毒,food poisoning,Eat + Middle + Poison,しょくちゅうどく
中華,China,Middle + Showy,ちゅうか
中国,China,Middle + Country,ちゅうごく
水中,underwater,Water + Middle,すいちゅう
中途半端,halfway,Middle + Route + Half + Edge,ちゅうとはんぱ
中学生,junior high school student,Middle + Study + Life,ちゅうがくせい
地中,in the ground,Earth + Middle,ちちゅう
時計,clock,Time + Measure,
土曜日,Saturday,Dirt + Weekday + Sun,どようび
お土産,local specialty or (travelling) souvenir gift,Dirt + Give Birth,みやげ
土地,plot of land,Dirt + Earth,とち
領土,territory,Territory + Dirt,りょうど
土壌,soil,Dirt + Soil,どじょう
粘土,clay,Sticky + Dirt,ねんど
土俵,(wrestling) ring,Dirt + Sack,どひょう
毎日,every day,Every + Sun,まいにち
火曜日,Tuesday,Fire + Weekday + Sun,かようび
日曜日,Sunday,Sun + Weekday + Sun,にちようび
誕生日,birthday,Birth + Life + Sun,たんじょうび
月曜日,Monday,Moon + Weekday + Sun,げつようび
金曜日,Friday,Gold + Weekday + Sun,きんようび
木曜日,Thursday,Tree + Weekday + Sun,もくようび
水曜日,Wednesday,Water + Weekday + Sun,すいようび
日記,diary,Sun + Write Down,にっき
今日,today,Now + Sun,きょう
明日,tomorrow,Bright + Sun,あした
昨日,yesterday,Previous + Sun,きのう
平日,weekday,Peace + Sun,へいじつ
祝日,national holiday,Celebrate + Sun,しゅくじつ
日焼け,sunburn,Sun + Bake,ひや
先日,the other day,Previous + Sun,せんじつ
日光,sunlight,Sun + Sunlight,にっこう
日常,everyday,Sun + Normal,にちじょう
日程,schedule,Sun + Extent,にってい
祭日,national holiday,Festival + Sun,さいじつ
連日,day after day,Take Along + Sun,れんじつ
５日,5th day of the month,Sun,いつか
６日,6th day of the month,Sun,むいか
日本,Japan,Sun + Book,にほん
４日,4th day of the month,Sun,よっか
日本語,Japanese (language),Sun + Book + Language,にほんご
休日,holiday,Rest + Sun,きゅうじつ
朝日,morning sun,Morning + Sun,あさひ
日没,sunset,Sun + Die,にちぼつ
記念日,memorial day,Write Down + Thought + Sun,きねんび
日光浴,sunbathing,Sun + Sunlight + Bathe,にっこうよく
曜日,day of the week,Weekday + Sun,ようび
今日は,hello,Now + Sun,こんにち
翌日,next day,The Following + Sun,よくじつ
同日,the same day,Same + Sun,どうじつ
即日,(on) the same day,Instant + Sun,そくじつ
近日,soon,Near + Sun,きんじつ
何日,what day,What + Sun,なんにち
田舎,rural area,Rice Paddy + Cottage,いなか
油田,oil field,Oil + Rice Paddy,ゆでん
五つ,five,Five,いつ
煩い,noisy,Annoy,うるさ
５月,May,Moon,ごがつ
五感,the five senses,Five + Feeling,ごかん
独立,independence,Alone + Stand,どくりつ
立つ,to stand (up),Stand,た
立派,splendid,Stand + Sect,りっぱ
役に立つ,to be helpful,Service + Stand,やくた
立てる,to stand up,Stand,た
対立,confrontation,Versus + Stand,たいりつ
私立,private (establishment),I + Stand,しりつ
創立,establishment,Create + Stand,そうりつ
自立,independence,Self + Stand,じりつ
孤立,isolation,Orphan + Stand,こりつ
建前,face,Build + Before,たてまえ
市立,municipal,City + Stand,しりつ
目玉,eyeball,Eye + Ball,めだま
玉ねぎ,onion (Allium cepa),Ball,たま
生卵,raw egg,Life + Egg,なまたまご
ゆで卵,boiled egg,Egg,たまご
珠算,calculation on an abacus,Pearl + Calculate,しゅざん
埼玉県,Saitama Prefecture (Kanto area),Cape + Ball + Prefecture,さいたまけん
ビー玉,marble,Ball,だま
火災,conflagration,Fire + Disaster,かさい
花火,fireworks,Flower + Fire,はなび
噴火,eruption,Erupt + Fire,ふんか
火事,fire,Fire + Action,かじ
明かり,light,Bright,あ
防火,fire prevention,Prevent + Fire,ぼうか
火鉢,brazier,Fire + Bowl,ひばち
火傷,burn,Fire + Wound,やけど
火照る,to feel hot,Fire + Illuminate,ほて
火炎瓶,Molotov cocktail,Fire + Flame + Bottle,かえんびん
火葬,cremation,Fire + Burial,かそう
耐火,fireproof,Resistant + Fire,たいか
天才,genius,Heaven + Genius,てんさい
才能,talent,Genius + Ability,さいのう
万歳,banzai,Ten Thousand + Years Old,ばんざい
漫才,manzai,Manga + Genius,まんざい
俊才,prodigy,Genius + Genius,しゅんさい
時々,sometimes,Time + Repeater,ときどき
色々,various,Color + Repeater,いろいろ
段々,gradually,Steps + Repeater,だんだん
我々,we,I + Repeater,われわれ
様々,various,Formal Name Title + Repeater,さまざま
次々,in succession,Next + Repeater,つぎつぎ
別々,separate,Separate + Repeater,べつべつ
続々,successively,Continue + Repeater,ぞくぞく
銘々,each,Inscription + Repeater,めいめい
謎々,riddle,Riddle + Repeater,なぞなぞ
着々,steadily,Wear + Repeater,ちゃくちゃく
若々しい,youthful,Young + Repeater,わかわか
悠々,quiet,Leisure + Repeater,ゆうゆう
其れ其れ,each,,そぞ
隅々,every corner,Corner + Repeater,すみずみ
蝶々,butterfly,Butterfly + Repeater,ちょうちょう
粘々,sticky,Sticky + Repeater,ねばねば
早々,early,Early + Repeater,はやばや
荒々しい,rough,Wild + Repeater,あらあら
瑞々しい,fresh and youthful,Congratulations + Repeater,みずみず
渋々,reluctantly,Bitter + Repeater,しぶしぶ
弱々しい,weak,Weak + Repeater,よわよわ
諸々,all kinds of things,Various + Repeater,もろもろ
華々しい,brilliant,Showy + Repeater,はなばな
終わる,to end,End,お
完了,completion,Perfect + Finish,かんりょう
終了,end,End + Finish,しゅうりょう
了解,comprehension,Finish + Untie,りょうかい
明瞭,clear,Bright + Clear,めいりょう
何千,many thousands,What + Thousand,なんぜん
４０００,four thousand,,よんせん
千円札,"1,000 yen bill",Thousand + Yen + Bill,せんえんさつ
１０００,"1,000",,いっせん
千葉,"Chiba (city, prefecture)",Thousand + Leaf,ちば
先月,last month,Previous + Moon,せんげつ
来月,next month,Come + Moon,らいげつ
今月,this month,Now + Moon,こんげつ
満月,full moon,Full + Moon,まんげつ
再来月,month after next,Again + Come + Moon,さらいげつ
月末,end of the month,Moon + End,げつまつ
毎月,every month,Every + Moon,まいつき
６月,June,Moon,ろくがつ
４月,April,Moon,しがつ
歳月,time,Years Old + Moon,さいげつ
月額,monthly sum,Moon + Amount,げつがく
月光,moonlight,Moon + Sunlight,げっこう
石油,oil,Stone + Oil,せきゆ
宝石,gem,Treasure + Stone,ほうせき
石炭,coal,Stone + Charcoal,せきたん
磁石,magnet,Magnet + Stone,じしゃく
胆石,gallstone,Guts + Stone,たんせき
石垣,stone wall,Stone + Hedge,いしがき
石碑,stone monument,Stone + Tombstone,せきひ
鉱石,ore,Mineral + Stone,こうせき
砕石,crushed stone,Smash + Stone,さいせき
