Kanji,Meaning,Radicals,Sound
点,Point,Fortune + Boil,てん
国,Country,Mouth + King + Drop,こく
化,Change,Leader + Spoon,か
知,Know,Arrow + Mouth,ち
科,Science,Grain + Ladle,か
夜,Night,Lid + Leader + Winter + Drop,や
思,Think,Rice Paddy + Heart,おも
南,South,Cross + Head + Sheep,なん
亡,Death,Death,ぼう
明,Bright,Sun + Moon,めい
店,"Shop, Store",Mullet + Fortune,てん
州,State,River + Dropx3,しゅう
両,Both,Ground + Head + Mountain,りょう
曲,Music,Mouth + Twenty,きょく
安,"Relax, Cheap",Roof + Woman,やす
長,Long,Long,ちょう
東,East,Cross + Rice Paddy + Fins,とう
星,Star,Sun + Life,せい
死,Death,Yakuza + Spoon,し
活,Lively,Tsunami + Thousand + Mouth,かつ
次,Next,Ice + Lack,じ
弱,Weak,Bow + Ice,じゃく
黒,Black,Black,くろ
教,Teach,Teacher + Winter,きょう
雪,Snow,Rain + Wolverine,ゆき
以,"By Means Of, By Way Of",Lion + Drop + Person,い
夏,Summer,Leaf + Eye + Winter,なつ
通,Pass Through,Treadmill + Mama + Task,つう
週,Week,Treadmill + Circumference,しゅう
強,Strong,Bow + Private + Insect,きょう
組,Group,Thread + Top Hat,く
必,Certain,Heart + Slide,ひつ
家,"House, Home",Roof + Pig,か
札,"Bill, Label, Notes",Tree + Umbrella,さつ
魚,Fish,Fish,ぎょ
鳥,Bird,Bird,とり
船,Boat,Boat + Fins + Mouth,せん
黄,Yellow,Yellow,き
由,Reason,Cross + Mouth,ゆう
校,School,Tree + Lid + Father,こう
高,"Tall, High, Expensive",Lid + Mouth + Mustache,だか
失,Fault,Husband + Slide,しっ
辺,Area,Treadmill + Sword,へん
紙,Paper,Thread + Clan,がみ
時,"Time, O'clock, Hour",Sun + Temple,じ
未,Not Yet,Jet,み
付,Attach,Leader + Measurement,つ
風,Wind,Table + Insect + Slide,ふう
記,"Write Down, Record",Say + Oneself,き
欠,Lack,Lack,けっ
氏,"Family Name, Surname",Clan,し
末,End,Jet,まつ
理,Reason,King + Village,り
民,Peoples,Mouth + Clan,みん
局,Bureau,Flag + Cape + Mouth,きょく
森,"Woods, Forest",Treex3,もり
医,Medicine,Cage + Arrow,い
番,Number In A Series,Sickle + Rice Paddy,ばん
住,Dwelling,Leader + Master,じゅう
決,Decide,Tsunami + Hook + Person,けっ
場,Location,Dirt + Easy,じょう
助,Help,Top Hat + Power,じょ
身,"Body, Somebody",Self + Slide,み
話,"Talk, Speak",Say + Tongue,わ
楽,"Comfort, Ease",Explosion + White + Tree,がく
電,Electricity,Rain + Rice Paddy + Umbrella,でん
君,Buddy,Wolverine + Slide + Mouth,くん
朝,Morning,Car + Moon,あさ
合,Suit,Suit,あい
研,Sharpen,Stone + Lantern,けん
究,Research,Hole + Nine,きゅう
馬,Horse,Horse,ば
反,Anti,Cliff + Stool,はん
買,Buy,Net + Shellfish,か
対,Versus,Writing + Measurement,たい
支,Support,Branch,し
投,Throw,Fingers + Weapon,とう
者,Someone,Coffin + Sun,しゃ
間,Interval,Gate + Sun,かん
絵,"Drawing, Painting",Thread + Meet,え
答,Answer,Bamboo + Suit,とう
役,"Service, Duty",Loiter + Weapon,やく
数,"Count, Number",Rice + Woman + Winter,すう
所,Place,Door + Axe,しょ
道,Road,Treadmill + Neck,どう
雲,Cloud,Rain + Cloud,くも
具,Tool,Eye + Ground + Fins,ぐ
服,Clothes,Moon + Stamp + Stool,ふく
負,Lose,Prison + Shellfish,ふ
送,Send,Treadmill + Horns + Heaven,そう
新,New,Stand + Tree + Axe,しん
和,"Peace, Japanese Style",Grain + Mouth,わ
使,Use,Leader + Ground + History,し
重,Heavy,Heavy,じゅう
発,Departure,Tent + Lantern,はつ
返,Return,Treadmill + Anti *,かえ
部,Part,Clown + Building,ぶ
美,Beauty,Horns + King + Big,び
乗,Ride,Grain + Mouth,の
始,Begin,Woman + Machine *,はじ
県,Prefecture,Lion + Eye + Small,けん
仮,Temporary,Leader + Anti *,か
談,Discuss,Say + Firex2,だん
事,"Action, Thing",Cross + Mouth + Brush,じ
