Kanji,Meaning,Radicals,Sound
企,Plan,Hat + Stop,き
資,Resources,Next + Shellfish *,し
税,Tax,Grain + Guard,ぜい
任,Duty,Leader + King,にん
解,"Untie, Solve",Angle + Sword + Cow *,かい
義,Righteousness,Righteousness,ぎ
審,Judge,Roof + Number *,しん
委,Committee,Grain + Woman,い
済,Come To An End,Tsunami + Simultaneous,さい
認,Recognize,Say + Sword + Drop + Heart reverted,にん
岡,Hill,Head + Horns + Ground + Mountain,おか
総,Whole,Thread + Public + Heart *,そう
務,Task,Spear + Winter + Power,む
検,Examine,Tree + Squid,けん
批,Criticism,Fingers + Compare,ひ
評,Evaluate,Say + Peace *,ひょう
設,Establish,Say + Weapon,せつ
敵,Enemy,Mohawk + Winter,てき
素,Element,King + Thread,そ
挙,Raise,Grass + Ground + Fins + Hand,きょ
派,Sect,Tsunami + Cliff + Tofu,は
際,Occasion,Building + Festival *,さい
責,Blame,King + Shellfish,せき
条,Clause,Winter + Tree,じょう
査,"Inspect, Investigate",Tree + Top Hat,さ
権,Rights,Tree + Arrow + Turkey,けん
増,Increase,Dirt + Mask,ぞう
省,Conserve,Few + Eye *,せい
件,Matter,Leader + Cow,けん
判,Judge,Half + Knife *,はん
罰,"Penalty, Punishment",Net + Say + Knife,ばつ
坊,Monk,Dirt + Direction,ぼう
援,"Aid, Assist",Fingers + Football,えん
費,"Expense, Cost",Dollar + Shellfish,ひ
過,Surpass,Treadmill + Mustachex2,か
示,"Indicate, Show",Jackhammer,じ
勢,Force,Womb + Circle + Power *,せい
置,Put,Net + Fix *,ち
応,Respond,Mullet + Heart,おう
策,Plan,Bamboo + Tree + Head,さく
賀,Congratulations,Power + Mouth + Shellfish,が
態,Appearance,Ability + Heart *,たい
副,"Vice, Side",Scarecrow + Knife,ふく
値,Value,Leader + Fix + Lion *,ね
案,Plan,Cheap + Tree *,あん
吸,"Suck, Inhale",Mouth + Escalator,しゅう
藤,Wisteria,Flowers + Moon + Horns + Train + Water,とう
営,Manage,Viking + Bathtub,えい
観,View,Arrow + Turkey + See,かん
領,Territory,Orders + Geoduck,りょう
寝,"Lie Down, Lay Down, Sleep",Roof + Fingers + Wolverine + Forehead + Stool,ね
姿,"Figure, Shape, Form",Next + Woman *,し
各,Each,Kiss,かく
誕,Birth,Say + Yoga + Correct *,たん
脱,Undress,Moon + Guard,ぬ
提,"Present, Submit",Fingers + Sun + Correct *,てい
宮,"Shinto Shrine, Shrine, Palace",Roof + Bathtub,きゅう
統,Unite,Thread + Allocate,とう
状,Condition,Fingers + Dog,じょう
域,"Region, Regional Boundary, Boundary",Dirt + Mouth + Ground + Drunkard,いき
価,Value,Leader + Helicopter,か
律,Law,Loiter + Brush,りつ
現,Present Time,King + See,げん
収,Obtain,Vines + Stool,しゅう
幹,Tree Trunk,Car + Hat + Dry,かん
呼,Call,Mouth + Peace *,よ
宅,"House, Home",Roof + Slide + Seven,たく
張,Stretch,Bow + Long,ちょう
秀,Excel,Grain + Stairs,しゅう
革,Leather,Leather,かく
施,Carry Out,Direction + Gun + Alligator,し
乳,Milk,Cleat + Child + Umbrella,にゅう
割,Divide,Roof + King + Mouth + Knife,わり
鬼,Demon,Demon,おに
師,"Teacher, Expert, Master",Drop + Bear + Ground + Towel,し
崎,Cape,Mountain + Big + Lip Ring,みさき
俳,Haiku,Leader + Criminal,はい
演,Perform,Tsunami + Roof +Leaf + Rice Paddy + Fins,えん
優,"Superior, Gentle",Leader + Hundred + Forehead + Heart + Winter *,ゆう
準,Standard,Tsunami + Turkey + Cross,じゅん
城,Castle,Dirt + Become *,しろ
贅,Luxury,Dirt + Direction + Winter + Shellfish,ぜい
備,"Provide, Equip",Leader + Flowers + Cliff + Task,び
則,Rule,Shellfish + Knife,そく
停,Halt,Leader + restaurant,てい
看,Watch Over,Hand + Eye,かん
護,Defend,Say + Flowers + Turkey + Stool,ご
導,Lead,Road + Measurement *,どう
裁,Judge,Cross + Clothes + Drunkard,さい
職,Employment,Ear + Sound + Drunkard *,しょく
沢,Swamp,Tsunami + Shrimp,たく
規,Standard,Husband + See,ぎ
管,Pipe,Bamboo + Roof + Bear,かん
述,Mention,Treadmill + Angel + Drop,じゅつ
武,Military,Ground + Stop + Ceremony,ぶ
境,Boundary,Dirt + Stand + See,きょう
質,Quality,Axex2 + Shellfish,しつ
環,Loop,King + Net + Ground + Zombie,かん
祝,Celebrate,Spirit + Older Brother,しゅく
販,Sell,Shellfish + Anti *,はん
触,Touch,Angle + Insect,しょく
狭,Narrow,Animal + Husband + Horns,せま
輸,Transport,Car + Death Star,ゆ
展,Expand,Flag + Blackjack + Kick,てん
差,Distinction,Sheep + Slide + Construction,さ
庁,"Agency, Government Office",Mullet + Street,ちょう
株,"Stocks, Shares",Tree + Slide + Jet,かぶ
載,Publish,Cross + Car + Drunkard,の
製,Manufacture,Control + Clothes *,せい
燃,Burn,Fire + Nature *,ねん
量,"Quantity, Amount",Dawn + Village,りょう
肩,Shoulder,Door + Moon,かた
層,Layer,Flag + Mask,そう
型,"Model, Type",Lantern + Knife + Dirt,けい
届,Deliver,Flag + Reason *,とど
担,"Carry, Bear",Fingers + Dawn,たん
視,Look At,Spirit + See,し
腰,Waist,Moon + Helicopter + Woman,こし
額,"Amount, Framed Picture, Forehead",Guest + Geoduck *,がく
供,"Servant, Companion",Leader + Together *,きょう
違,Different,Treadmill + Korea,ちが
腕,Arm,Moon + Roof + Evening + Snake,うで
象,"Elephant, Phenomenon",Elephant,しょう
影,Shadow,Sun + Capital + Hair *,かげ
与,Give,Beggar + Ground,よ
渡,Transit,Tsunami + Hick + Stool,わた
訴,Sue,Say + Axe + Drop,そ
捕,Catch,Fingers + Wedding,ほ
肥,Obese,Moon + Bed,ひ
絞,Strangle,Thread + Mix *,しぼ
構,"Set Up, Care",Tree + Lifeguard,こう
巻,Scroll,Horns + Train + Oneself,ま
満,Full,Tsunami + Flowers + Both *,まん
響,"Echo, Reverberation, Resound",Trash + Root + Building + Sound *,きょう
豊,Plentiful,Music + Beans *,ほう
含,Include,Now + Mouth,ふく
補,Supplement,Spirit + Wedding,ほ
票,Ballot,Helicopter + Jackhammer,ひょう
候,"Climate, Candidate",Leader + Stick + Hook + Arrow,こう
捜,Search,Fingers + Humble + Stool,さが
慣,Accustomed,Soul + Rice Paddy + Shellfish,かん
属,Belong,Flag + Mantis,ぞく
鮮,Fresh,Fish + Sheep,せん
訟,Lawsuit,Say + Public *,しょう
抜,Extract,Fingers + Friend *,ぬ
逮,Apprehend,Treadmill + Brush + Water,たい
隠,Hide,Building + Cleat + Wolverine + Heart,かく
効,Effective,Mix + Power *,こう
居,Alive,Flag + Old,い
景,Scene,Sun + Capital *,けい
限,Limit,Building + Root,げん
輩,Comrade,Criminal + Car,はい
況,Condition,Tsunami + Older Brother,きょう
掛,Hang,Fingers + Dirtx2 + Toe,か
替,"Replace, Exchange",Husbandx2 + Sun,か
模,Imitation,Tree + Greenhouse,も
従,"Obey, Accompany, Follow",Loiter + Horns + Correct *,したが
徴,"Indication, Sign",Loiter + Mountain + King + Winter,ちょう
怪,Suspicious,Soul + Tombstone,かい
我,"I, Me",Ego,が
突,Stab. Thrust,Hole + Big,とつ
針,Needle,Gold + Cross,はり
河,River,Tsunami + Lip Ring,が
汗,Sweat,Tsunami + Dry,あせ
再,Again,Leaf + Task,さ
較,Contrast,Car + Mix *,かく
印,"Seal, Mark",Comb + Stamp,しるし
接,Adjoin,Fingers + Stand + Woman,せつ
刺,Stab,Tree + Head + Knife,し
振,"Shake, Wave",Fingers + Landslide,ふ
障,Hinder,Building + Stand + Early *,しょう
往,Depart,Loiter + Master,おう
筆,Writing Brush,Bamboo + Brush,ひつ
励,Encourage,Cliff + Ten Thousand + Power *,れい
創,Create,Warehouse + Knife,そう
菓,Cake,Flowers + Fruit,か
授,Instruct,Fingers + Accept *,じゅ
討,Chastise,Say + Measurement,とう
復,Restore,Loiter + Black Hole,ふく
造,Create,Treadmill + Announce *,ぞう
独,Alone,Animal + Insect,どく
獣,"Beast, Animal",Grass + Rice Paddy + Creeper + Dog,じゅう
占,Fortune,Fortune,せん
激,"Fierce, Violent",Tsunami + White + Direction + Winter,げき
鉛,Lead,Gold + Fins + Mouth,えん
郵,Mail,Car + Building,ゆう
豚,"Pork, Pig",Moon + Pig,ぶた
故,"Circumstance, Reason",Old + Winter,こ
貯,Savings,Shellfish + Roof + Street,ちょ
迫,"Urge, Compel, Coerce",Treadmill + White,はく
濃,Thick,Tsunami + Farming **,のう
胃,Stomach,Rice Paddy + Moon,い
腹,"Belly, Abdomen, Stomach",Moon + Black Hole,はら
退,"Retreat, Reject",Treadmill + Root,たい
給,Salary,Thread + Suit,きゅう
眠,Sleep,Eye + Peoples *,ねむ
誘,Invite,Say + Grain + Stairs,ゆう
症,Symptom,Sick + Correct *,しょう
迷,Astray,Treadmill + Rice,めい
極,Extreme,Tree + Mouth + Beggar + Stool + Ground,きょく
端,Edge,Stand + Mountain + Rake,たん
締,Tighten,Thread + Stand + Towel,し
昇,Ascend,Sun + Slide + Twenty,しょう
惑,Misguided,Drunkard + Creeper + Heart,わく
睡,Drowsy,Eye + Car,すい
段,"Steps, Stairs",Comb + Weapon,だん
郎,Guy,Good + Building *,ろう
健,Healthy,Leader + Yoga + Brush,けん
靴,Shoes,Leather + Change *,くつ
就,Settle In,Capital + Dog *,しゅう
途,Route,Treadmill + Surplus *,と
織,Weave,Thread + Sound + Drunkard *,おり
貸,Lend,Substitute + Shellfish *,かし
屈,Yield,Flag + Exit,くつ
痛,Pain,Sick + Mama + Task,いた
康,Health,Mullet + Brush + Water,こう
悩,Worry,Soul + Grass + Treasure Chest,なや
暇,"Spare Time, Free Time",Sun + Comb + Cage + Stool,か
訪,Visit,Say + Direction,ほう
招,Beckon,Fingers + Joker,まね
怒,"Angry, Anger",Woman + Stool + Heart,おこ
撃,Attack,Car + Weapon + Hand,げき
妙,Strange,Woman + Few *,みょう
麗,Lovely,Lovely,れい
隊,Squad,Building + Horns + Pig,たい
衆,Populace,Blood + Hair + Tofu,しゅう
冷,"Cool, Cold",Ice + Orders,れい
稚,Immature,Grain + Turkey,よう
奇,"Odd, Strange",Big + Lip Ring,き
婦,Wife,Woman + Wolverine + Forehead + Towel,ふ
券,Ticket,Horns + Train + Sword,けん
絶,"Extinction, Die Out",Thread + Color,ぜつ
微,Delicate,Loiter + Mountain + Pi + Winter,び
逆,Reverse,Treadmill + Barracks,さか
録,Record,Gold + Wolverine + Water,ろく
清,Pure,Tsunami + Blue,せい
博,"Exhibition, Gambling",Cross + Specialty *,はく
潔,Pure,Tsunami + Life + Sword + Thread,けつ
修,Discipline,Leader + Stick + Winter + Hair,しゅう
傘,Umbrella,Hat + Personx4 + Cross,かさ
程,Extent,Grain + Mouth + King,ほど
憲,Constitution,Roof + King + Net + Heart,けん
益,Benefit,Horns + Ground + Fins + Plate,えき
移,Shift,Grain + Eveningx2,い
児,Child,Stick + Sun + Legs,じ
並,Line Up,Horns + Ground + Spikes,なら
凍,Frozen,Ice + East *,こお
巨,Giant,Giant,きょ
庫,"Storage, Warehouse",Mullet + Car,こ
精,Spirit,Rice + Blue,せい
処,Deal With,Winter + Table,しょ
綺,Beautiful,Thread + Big + Lip Ring,き
攻,"Aggression, Attack, Offense",Construction + Winter,こう
浜,Beach,Tsunami + Axe + Ground + Fins,はま
幼,"Infancy, Child",Trash + Power,よう
江,"Inlet, Bay",Tsunami + Construction,え
壊,Break,Dirt + Cross + Net + Clothes,こわ
診,Diagnose,Say + Hat + Hair,しん
請,Request,Say + Blue,せい
杯,Cup Of Liquid,Tree + Not,ぱい
僚,Colleague,Leader + Charcoal,りょう
板,Board,Tree + Anti *,ばん
監,Oversee,Servant + Gun + Drop + Plate,かん
寄,Approach,Roof + Odd *,よ
宗,Religion,Roof + Jackhammer,しゅう
街,Street,Go + Dirtx2,かい
緊,Tense,Servant + Stool + Thread,きん
索,Search,Cross + Forehead + Thread,さく
添,Append,Tsunami + Heaven + Small + Drop,そ
積,Accumulate,Grain + Blame *,せき
臣,Servant,Servant,じん
詰,Stuffed,Say + Good Luck,つ
催,Sponsor,Leader + Mountain + Turkey,さい
督,Coach,Above + Small + Stool + Eye *,とく
宴,Banquet,Roof + Sun + Woman,えん
雄,"Male, Brave",Narwhal + Private + Turkey,ゆう
促,Urge,Leader + Foot,そく
欧,Europe,District + Lack *,おう
略,Abbreviation,Rice Paddy + Kiss,りゃく
娘,Daughter,Woman + Good *,じょう
烈,"Violent, Intense",Yakuza + Knife + Boil,れつ
猛,Fierce,Animal + Child + Plate,もう
怖,Scary,Soul + Narwhal + Towel,ふ
閣,The Cabinet,Gate + Kiss,かく
韓,Korea,Car + Korea,かん
航,Navigation,Boat + Lid + Table,こう
乾,Dry,Car + Gun + Nose,かん
恐,Fear,Saw + Heart,きょう
預,Deposit,Beforehand + Geoduck *,よ
貧,Poor,Part + Shellfish,ひん
適,Suitable,Treadmill + Mohawk,てき
延,Prolong,Yoga + Correct *,えん
購,Subscription,Shellfish + Lifeguard,こう
系,Lineage,Lineage,けい
覧,Look At,Servant + Gun + Drop + See,らん
快,Pleasant,Soul + Hook + Person,かい
翌,"The Following, Next",Feathers + Stand,よく
漏,Leak,Tsunami + Flag + Rain,も
遊,Play,Treadmill + Direction + Gun + Child,あそ
乏,Scarce,Leaf + Hills,ぼう
更,Again,Ground + Rice Paddy + Treasure,さら
婚,Marriage,Woman + Clan + Sun,こん
背,"Back, Height",North + Moon *,せ
撮,Photograph,Fingers + Sun + Ear + Stool,と
詳,Detailed,Say + Sheep,くわ
騒,Boisterous,Horse + Stool + Insect,さわ
懐,Nostalgia,Soul + Cross + Net + Clothes,なつ
照,Illuminate,Sun + Joker + Boil,しょう
盗,Steal,Next + Plate *,とう
版,Edition,One Sided + Anti *,はん
飾,Decorate,Eat + Gun + Towel,しょく
符,Token,Bamboo + Attach *,ふ
浮,Float,Tsunami + Cleat + Child,う
枕,Pillow,Tree + Big,まくら
押,Push,Fingers + Turtle Shell,お
越,Go Beyond,Run + Become *,こ
魅,Alluring,Demon + Jet,み
渇,Thirst,Tsunami + Sun + Prison + Spoon,かわ
旗,Flag,Direction + Gun + Crab,はた
華,Showy,Flowers + Rice Paddy + Cross,か
墓,Grave,Greenhouse + Dirt,はか
尋,Inquire,Wolverine + Construction + Mouth + Measurement,たず
菜,Vegetable,Flowers + Cleat + Tree,さい
豪,Luxurious,Lid + Mouth + Forehead + Pig,ごう
探,Look For,Fingers + Pi + Tree,たん
粉,Powder,Rice + Part,こな
編,Knit,Thread + Library,へん
融,Dissolve,bully + Insect,ゆう
既,Previously,Root + Fang,き
除,Exclude,Building + Surplus *,じ
鑑,Model,Gold + Oversee *,かん
幾,"How Many, How Much",Trashx2 + Drunkard + Person,いく
倉,Warehouse,Warehouse,そう
嘆,Sigh,Mouth + Chinese,なげ
驚,Surprised,Poem + Winter + Horse,おどろ
帯,Belt,Ground + Mountain + Forehead + Towel,たい
貨,Freight,Change + Shellfish *,か
散,Scatter,Blackjack + Moon + Winter,さん
脈,Vein,Moon + Cliff + Tofu,みゃく
陸,Land,Building + Womb,りく
徳,Virtue,Loiter + Cross + Net + Heart,とく
偵,Spy,Leader + Toe + Shellfish,てい
掃,Sweep,Fingers + Wolverine + Forehead + Towel,そう
巣,Nest,Simple + Fins,す
離,Detach,Rocket + Turkey,り
似,Resemble,Leader + Lion + Drop + Person,に
富,Rich,Roof + Scarecrow,ふ
均,Equal,Dirt + Pool,きん
泥,Mud,Tsunami + Flag + Spoon,どろ
救,Rescue,Request + Winter *,きゅう
径,Diameter,Loiter + Tombstone,けい
孫,Grandchild,Child + Lineage,まご
廊,Corridor,Mullet + Guy *,ろう
普,Normal,Line Up + Sun *,ふ
棒,"Pole, Rod",Tree + Train + Dry,ぼう
訳,"Translation, Reason",Say + Shrimp,やく
桜,"Sakura, Cherry Tree",Tree + Grass + Woman,さくら
染,Dye,Tsunami + Nine + Tree,せん
党,Group,Viking + Older Brother,とう
恩,Kindness,Mouth + Big + Heart,おん
秘,Secret,Grain + Certain *,ひ
祖,Ancestor,Spirit + Top Hat,そ
複,Duplicate,Spirit + Black Hole,ふく
汚,Dirty,Tsunami + Ground + Beggar,お
机,Desk,Tree + Table,つくえ
眼,Eyeball,Eye + Root,め
績,Exploits,Thread + Blame *,せき
酸,Acid,Alcohol + Spider,さん
卵,Egg,Pool,たまご
銭,Coin,Gold + Bar,せん
迎,Welcome,Treadmill + Cat Pirate,むか
液,"Fluid, Liquid",Tsunami + Night *,えき
捨,Throw Away,Fingers + Hat + Dirt + Mouth,す
欲,Want,Valley + Lack *,よく
永,Eternity,Water + Drop,えい
興,Interest,Comb + Same + Ground + Fins *,こう
採,Gather,Fingers + Cleat + Tree,さい
衛,Defense,Go + Korea,えい
雑,"Random, Miscellaneous",Nine + Tree + Turkey,ざっ
厳,Strict,Grass + Cliff + Elf + Winter,げん
込,Crowded,Treadmill + Enter,こ
傷,Wound,Leader + Gun + Easy,いた
密,Secrecy,Roof + Certain + Mountain *,せつ
暖,Warm,Sun + Football,だん
賛,Agree,Husbandx2 + Shellfish,さん
志,Intention,Samurai + Heart,し
序,Preface,Mullet + Beforehand *,じょ
飼,Domesticate,Eat + Director *,か
糖,Sugar,Rice + Mullet + Brush + Mouth,とう
賃,Rent,Leader + King + Shellfish,ちん
蒸,Steam,★,じょう
諸,Various,Say + Someone *,しょ
蔵,Storehouse,Storehouse,ぞう
肺,Lung,Moon + City *,はい
盛,"Pile, Heaps",Become + Plate *,さか
拡,Extend,Fingers + Mullet + Private,かく
忠,Loyalty,Middle + Heart,ちゅう
装,Attire,Icicle + Samurai + Clothes,そう
漠,"Desert, Vague",Tsunami + Greenhouse,ばく
操,"Manipulate, Chastity",Fingers + Products + Tree,そう
著,Author,Flowers + Someone *,ちょ
砂,Sand,Stone + Few *,さ
異,Differ,Rice Paddy + Blackjack + Fins,い
筋,"Muscle, Tendon",Bamboo + Moon + Power,すじ
皇,Emperor,White + King,こう
窓,Window,Hole + Private + Heart,まど
垂,"Dangle, Drip",Car,すい
簡,Simplicity,Bamboo + Interval *,かん
尊,Revered,Horns + Alcohol + Measurement,そん
否,No,Not + Mouth,ひ
誌,Magazine,Say + Samurai + Heart,し
裏,Backside,Lid + Village + Kick,うら
閉,Close,Gate + Genius *,し
暮,Livelihood,Greenhouse + Sun,く
宝,Treasure,Roof + King + Drop,ほう
熟,Ripen,Sock + Circle + Boil *,じゅく
灰,Ashes,Cliff + Fire,はい
納,Supply,Thread + Inside *,なっ
宣,Proclaim,Roof + Ground + Dawn,せん
敬,Respect,Poem + Winter,けい
揮,Brandish,Fingers + Forehead + Car,き
降,Descend,Building + Winter + Cow,こう
縮,Shrink,Thread + Roof + Leader + Hundred *,しゅく
奴,Dude,Woman + Stool,やつ
幕,Curtain,Greenhouse + Towel,まく
貴,Valuable,Middle + Ground + Shellfish,き
歓,Delight,Arrow + Turkey + Lack,かん
隷,Slave,Samurai + Jackhammer + Brush + Water,れい
豆,Beans,Beans,とう
損,Loss,Fingers + Member *,そん
丼,Rice Bowl,Well + Drop,どんぶり
劇,Drama,Tiger + Pig + Knife,げき
沿,Run Alongside,Tsunami + Fins + Mouth,えん
腐,Rot,Mullet + Attach + Meat *,ふ
粋,Stylish,Rice + Nine + Cross,すい
聖,Holy,Ear + Mouth + King,せい
拝,Worship,Fingers + Dry,はい
推,Infer,Fingers + Turkey,すい
磁,Magnet,Stone + Horns + Ground + Trashx2,じ
紅,"Deep Red, Crimson",Thread + Construction,こう
誤,Mistake,Say + Catapult,ご
勤,Work,Boot + Power,つと
承,Consent,Water + Child + Groundx2,しょう
純,Pure,Thread + Barracks,じゅん
刻,Carve,Slice + Knife,こく
源,Origin,Tsunami + original,げん
吐,"Throw Up, Spit",Mouth + Dirt,は
薦,Recommend,Flowers + Mullet + Bird,せん
射,Shoot,Body + Measurement *,しゃ
臓,Internal Organs,Moon + Storehouse,ぞう
芋,Potato,Flowers + Dry,いも
枝,Branch,Tree + Branch,えだ
縦,Vertical,Thread + Loiter + Horns + Correct *,たて
爪,Claw,Claw,つめ
舎,Cottage,Hat + Dirt + Mouth,しゃ
汁,Soup,Tsunami + Cross,しる
介,Jammed In,Hut,かい
炎,Flame,Fire + Fire,えん
亀,Turtle,Turtle,かめ
滞,Stagnate,Tsunami + Belt *,たい
紹,Introduce,Thread + Joker,しょう
破,Tear,Stone + Skin *,は
払,Pay,Fingers + Private,はら
剣,Sword,Squid + Knife,けん
熊,Bear,Ability + Boil *,くま
銅,Copper,Gold + Same *,どう
厄,Unlucky,Cliff + Snake,やっ
酔,Drunk,Alcohol + Nine + Cross,よ
獄,Prison,Animal + Say + Dog,ごく
己,Oneself,Oneself,こ
彼,He,Loiter + Skin *,あそこ
油,Oil,Tsunami + Reason *,ゆ
講,Lecture,Say + Lifeguard,こう
遅,Slow,Treadmill + Flag + Sheep,おそ
測,Measure,Tsunami + Shellfish + Knife,そく
杉,Cedar,Tree + Hair,すぎ
醤,Soy Sauce,Commander + Alcohol *,しょう
為,Sake,Sake,な
互,Mutual,Ground + Shuriken,ご
寿,Lifespan,Train + Measurement,じゅ
彫,Carve,Circumference + Hair,ちょう
恥,Shame,Ear + Heart,は
酢,Vinegar,Alcohol + Key,す
鍋,Pot,Gold + Mustachex2,なべ
噌,Boisterous,Mouth + Mask,そ
湖,Lake,Tsunami + Old + Moon,こ
甘,Sweet,Sweet,あま
牙,"Fang, Tusk",Fang,げ
盟,Alliance,Bright + Plate *,めい
旧,Former,Stick + Sun,きゅう
及,Reach,Escalator,およ
舞,Dance,Nothing + Dance,ま
幅,Width,Towel + Creeper + Rice Paddy,はば
伸,Stretch,Leader + Humble,の
沖,Open Sea,Tsunami + Middle,おき
核,Nucleus,Tree + Slice,かく
摘,Pluck,Fingers + Mohawk,てき
津,Haven,Tsunami + Brush,つ
縄,Rope,Thread + Turtle,なわ
維,Maintain,Thread + Turkey,い
奈,Nara,Big + Jackhammer,な
療,Heal,Sick + Charcoal,りょう
頼,Trust,Bundle + Geoduck,らい
献,Offer,South + Dog *,けん
廃,Obsolete,Mullet + Departure *,はい
超,"Ultra, Super",Run + Joker,ちょう
継,Inherit,Thread + Lion + Rice,つ
遺,Leave Behind,Treadmill + Valuable *,い
伎,Deed,Leader + Branch,き
般,Generally,Boat + Weapon,ぱん
将,Commander,Icicle + Cleat + Measurement,しょう
踏,Step,Foot + Water + Sun,ふ
依,"Reliant, Dependant",Leader + Clothes,い
鹿,Deer,Mullet + Helicopter + Compare,か
換,Exchange,Fingers + Prison + Head + Legs + Big,か
貿,Trade,Private + Sword + Shellfish,ぼう
諾,Agreement,Say + Flowers + Right *,だく
債,Debt,Leader + Blame *,さい
姓,"Surname, Family Name",Woman + Life,せい
狙,Aim,Animal + Top Hat,ねら
香,Fragrance,Grain + Sun,こう
抗,Confront,Fingers + Lid + Table,こう
臨,Look To,Servant + Gun + Products,りん
掲,Display,Fingers + Sun + Prison + Spoon,けい
跡,Traces,Foot + Red,あと
昭,Shining,Sun + Joker,しょう
兆,Omen,Omen,ちょう
塁,"Base, Baseball Base",Rice Paddy + Explosion + Dirt,るい
闘,Struggle,Gate + Beans + Measurement,とう
漁,Fishing,Tsunami + Fish,ぎょ
爆,Explode,Fire + Violence *,ばく
湾,Gulf,Tsunami + Red + Bow,わん
崩,Crumble,Mountain + Moonx2,くず
葬,Burial,Flowers + Ground + Yakuza + Spoon + Twenty,そう
償,Reparation,Leader + Prize *,しょう
刑,Punish,Lantern + Knife,けい
抵,Resist,Fingers + Clan + Ground,てい
募,Recruit,Greenhouse + Power,ぼ
跳,Hop,Foot + Omen,は
遣,Dispatch,Treadmill + Insect + Bear,づか
弾,Bullet,Bow + Simple,だん
患,Afflicted,Skewer + Heart,かん
戻,Return,Door + Big,もど
契,Pledge,Master + Sword + Big,けい
執,Tenacious,Happiness + Circle *,しっ
聴,Listen,Ear + Cross + Net + Heart,ちょう
陣,Army Base,Building + Car,じん
旬,"In Season, Time of the Month, Season",Prison + Sun,じゅん
恵,Favor,Cross + Rice Paddy + Heart,めぐ
抱,Hug,Fingers + Prison + Oneself,かか
削,Whittle Down,Triceratops + Moon + Knife,さく
刊,Edition,Dry + Knife,かん
房,Cluster,Door + Direction,ぼう
贈,Presents,Shellfish + Mask,おく
抑,Suppress,Fingers + Cat Pirate,よく
避,Dodge,Treadmill + Hot Pepper,ひ
還,Send Back,Treadmill + Net + Ground + Zombie,かん
傾,Lean,Change + Geoduck *,けい
娠,Pregnant,Woman + Landslide,しん
妊,Pregnant,Woman + King,にん
描,Draw,Fingers + Flowers + Rice Paddy,えが
託,Consign,Say + Slide + Seven,たく
懸,Suspend,Prefecture + Lineage + Heart *,けん
需,Demand,Rain + Rake,じゅ
賂,Bribe,Shellfish + Kiss,ろ
緩,Loose,Thread + Football,ゆる
賄,Bribe,Shellfish + Have *,わい
却,Contrary,past + Stamp *,きゃく
奏,Play Music,Train + Heaven,そう
盤,Tray,Boat + Weapon + Plate,ばん
奥,Interior,Drop + Head + Rice + Big,おく
緒,Together,Thread + Someone *,しょ
慮,Consider,Tiger + Think *,りょ
宜,Best Regards,Roof + Top Hat,よろ
繰,Spin,Thread + Syrup,く
致,Do,Mole + Winter,ち
択,Select,Fingers + Shrimp,たく
称,Title,Grain + Gun + Small,しょう
扱,Handle,Fingers + Escalator,あつか
伴,Accompany,Leader + Half *,ともな
逃,Escape,Treadmill + Omen,に
齢,Age,Tooth + Orders *,れい
併,Join,Leader + Horns + Lantern,ぺい
奪,Rob,Big + Turkey + Measurement,だつ
埼,Cape,Dirt + Odd *,さき
銃,Gun,Gold + Allocate,じゅう
祉,Welfare,Spirit + Stop,ふく
免,Excuse,Excuse,めん
鋼,Steel,Gold + Hill *,はがね
隆,Prosperity,Building + Winter + Life,りゅう
圏,Range,Mouth + Scroll *,けん
片,One Sided,one sided,かた
埋,Bury,Dirt + Village,まい
慎,Humility,Soul + Reality *,しん
枠,Frame,Tree + Nine + Cross,わく
阜,Mound,Drop + Bear + Cross,ふ
壁,Wall,Hot Pepper + Dirt,かべ
邦,Home Country,Three + Slide + Building,ぽう
岐,Branch Off,Mountain + Branch,ぎ
躍,Leap,Foot + Wolverinex2 + Turkey,やく
甲,"Turtle Shell, A",Turtle Shell,がい
譲,Defer,Say + Nurse,ゆず
雇,Employ,Door + Turkey,こ
項,Paragraph,Construction + Geoduck,こう
勧,Recommend,Arrow + Turkey + Power,すす
充,Allocate,Allocate,じゅう
御,Honorable,Loiter + Gun + Correct + Stamp *,ご
斐,Patterned,Criminal + Writing,ひ
渋,Bitter,Tsunami + Stop + Explosion,じゅう
鈴,Buzzer,Gold + Orders,すず
群,Flock,Buddy + Sheep *,ぐん
稲,Rice Plant,Grain + Cleat + Former *,いな
棋,Chess Piece,Tree + Crab,ぎ
拒,Refusal,Fingers + Giant,きょ
仙,Hermit,Leader + Mountain,せん
謙,Modesty,Say + Mona Lisa,けん
控,Abstain,Fingers + Sky *,こう
殿,"Milord, Lord",Flag + Together + Weapon *,でん
犠,Sacrifice,Cow + Righteousness,ぎ
誉,Honor,Grass + Ground + Fins + Say,よ
隣,Neighbor,Building + Rice + Dance,りん
殖,Multiply,Yakuza + Fix *,しょく
兼,Concurrently,Mona Lisa,か
獲,Seize,Animal + Flowers + Turkey + Stool,かく
雅,Elegant,Fang + Turkey,が
薄,Dilute,Flowers + Tsunami + Specialty *,うす
顧,Review,Employ + Geoduck *,こ
堀,Ditch,Dirt + Flag + Exit,ほり
敷,Spread,Cross + Rice Paddy + Direction + Winter,しき
柱,Pillar,Tree + Master,ちゅう
頻,Frequent,Walk + Geoduck *,ひん
吹,Blow,Mouth + Lack,ふ
